brand_name,canonical_brand_name,metric_name,workbook_value,reference_value,absolute_error,relative_error,source_type,source_name,source_locator,as_of_date,method_reported_or_estimated,confidence_score,provenance_grade,publish_status_candidate,selected_source_tier,primary_source_status,scope_notes
Sonic Drive-In,Sonic Drive-In,system_sales,5.6,,,,,,,,,,,blocked,missing,no_primary_source,
Starbucks,Starbucks,auv,945.0,1800.0,855.0,0.475,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,no_primary_source,
Starbucks,Starbucks,store_count,16935.0,16941.0,6.0,0.0003541703559412077,investor_relations,Starbucks Reports Q4 and Full Fiscal Year 2024 Results,https://investor.starbucks.com/news/financial-releases/newsdetails/2024/Starbucks-Reports-Q4-and-Full-Fiscal-Year-2024-Results/default.aspx,2024-09-29,reported,0.95,A,publishable,primary_source,used_primary_source,Direct U.S. store count is comparable even though the company reports on a fiscal-year cadence
Starbucks,Starbucks,system_sales,26.2,30.4,4.199999999999999,0.1381578947368421,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,blocked,secondary_fallback,no_primary_source,
Subway,Subway,auv,490.0,495.0,5.0,0.010101010101010102,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,advisory,secondary_fallback,no_primary_source,
Subway,Subway,store_count,19502.0,19502.0,0.0,0.0,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,advisory,secondary_fallback,no_primary_source,
Subway,Subway,system_sales,10.0,9.653,0.34699999999999953,0.03594737387340718,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,estimated,0.85,B,advisory,secondary_fallback,no_primary_source,
Taco Bell,Taco Bell,auv,2100.0,2130.0,30.0,0.014084507042253521,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Taco Bell,Taco Bell,store_count,7604.0,7604.0,0.0,0.0,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Taco Bell,Taco Bell,system_sales,15.0,16.2,1.1999999999999993,0.07407407407407403,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,blocked,secondary_fallback,no_primary_source,
Wendy's,Wendy's,auv,2060.0,2098.0,38.0,0.01811248808388942,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Wendy's,Wendy's,store_count,6030.0,5933.0,97.0,0.016349233102983314,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Wendy's,Wendy's,system_sales,12.3,12.554,0.25399999999999956,0.020232595188784414,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Whataburger,Whataburger,auv,3962.0,,,,,,,,,,,blocked,missing,no_primary_source,
Whataburger,Whataburger,store_count,1000.0,,,,,,,,,,,blocked,missing,no_primary_source,
Whataburger,Whataburger,system_sales,3.8,,,,,,,,,,,blocked,missing,no_primary_source,
Wingstop,Wingstop,auv,2180.0,2138.0,42.0,0.019644527595884004,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Wingstop,Wingstop,store_count,2200.0,2204.0,4.0,0.0018148820326678765,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
Wingstop,Wingstop,system_sales,4.8,4.765,0.03500000000000014,0.0073452256033578476,qsr50,QSR 50 2025,https://www.qsrmagazine.com/wp-content/uploads/2025/07/QSR_QSR50_AUGUST2025.pdf,2024-12-31,reported,0.95,B,publishable,secondary_fallback,no_primary_source,
